nazwa_pliku,ocena
9d7b374e3f.jpg,-1
4000c261aa.jpg,-1
c292106869.jpg,-1
b866515565.jpg,1
256ae7a278.jpg,-1
76f024fd1d.jpg,-1
a8e4d3d613.jpg,-1
5a43a00018.jpg,-1
07f5ecc556.jpg,-1
36546e4346.jpg,-1
6988ac3b0d.jpg,1
e593c26036.jpg,-1
0ec45140c0.jpg,1
4a89d4bb07.jpg,-1
45b029271b.jpg,-1
8bd4ec3f40.jpg,1
efebfd6834.jpg,-1
fd5f8c6e02.jpg,-1
db0538152e.jpg,-1
597a4e7812.jpg,-1
1425bcd222.jpg,-1
c1fead8b0e.jpg,1
860d2a5572.jpg,-1
416519a3ae.jpg,-1
860d2a5572.jpg,-1
5ce53234d2.jpg,-1
97b4b10074.jpg,-1
d0891afc12.jpg,-1
3d2030ad88.jpg,-1
a2ca48e006.jpg,-1
43f68fc6b6.jpg,-1
3c06985343.jpg,1
6e69115b39.jpg,-1
df1249413d.jpg,-1
0cd7b10083.jpg,-1
3f1d14bdf1.jpg,-1
9b5963f5df.jpg,-1
5a082bfbd3.jpg,-1
e02d5c2a9e.jpg,-1
f43be9b3eb.jpg,1
97364df62a.jpg,-1
db38659d6c.jpg,-1
d5265ca84d.jpg,-1
7e552ff965.jpg,-1
5bb9104f72.jpg,-1
f3340d15c4.jpg,-1
17a16e1bb7.jpg,-1
d842ff02ea.jpg,-1
1c92f55a86.jpg,-1
4adef92292.jpg,1
e75979d4fe.jpg,1
69a8f674e8.jpg,1
da8977b3bc.jpg,1
ab6634d7a8.jpg,1
ce47c26466.jpg,-1
2f1fb11d0b.jpg,1
41ce31bee5.jpg,1
38f26791f0.jpg,-1
24d2870ead.jpg,-1
ac1d6ccda1.jpg,-1
5ce53234d2.jpg,-1
f307518f63.jpg,-1
379d94978b.jpg,-1
f6029c5641.jpg,-1
0cbd5a0b55.jpg,-1
86396f7713.jpg,-1
293dc1ba84.jpg,-1
3122e5d326.jpg,-1
a170fd66b2.jpg,-1
203b7fd63e.jpg,1
61c389cc98.jpg,-1
c825b77f30.jpg,-1
a2b26348f5.jpg,1
24844b0b4d.jpg,-1
7b4373ff90.jpg,-1
b4a1773263.jpg,1
1ef23cdf30.jpg,-1
0f325acab1.jpg,-1
455c243a60.jpg,1
8bd4ec3f40.jpg,1
1c92f55a86.jpg,-1
fc8e6eb935.jpg,-1
2bf483fc6b.jpg,-1
bbde6a5e71.jpg,1
dd5cb7a487.jpg,1
cea603e92e.jpg,1
39b28e14c9.jpg,1
03202d8ade.jpg,-1
86c548db2f.jpg,1
0f325acab1.jpg,-1
e7a93a1093.jpg,1
ac1d6ccda1.jpg,-1
25e249833e.jpg,-1
712eeeda99.jpg,-1
2468c63c58.jpg,-1
6880afa704.jpg,-1
02967a519d.jpg,-1
421f49d0c2.jpg,-1
38ed512981.jpg,-1
2e6aa9d190.jpg,1
2d3a172f16.jpg,-1
1b164dd541.jpg,1
cea9117f7f.jpg,-1
73f04c7701.jpg,1
e93cad02c4.jpg,1
b554fab48f.jpg,1
3f1d7d0b1c.jpg,-1
5fb75049da.jpg,-1
c800a3bf93.jpg,1
e0ad7f0659.jpg,1
77eda0616e.jpg,-1
b6c2ee32c3.jpg,-1
5a082bfbd3.jpg,1
d6156f693b.jpg,-1
aaa356d014.jpg,1
a6debb9a07.jpg,1
330ec197ad.jpg,1
75ebaeeeed.jpg,1
0670a69643.jpg,1
f656322fd9.jpg,1
4802bbb54e.jpg,1
9ced5ef9af.jpg,-1
a82c8f369c.jpg,1
6e06cec7c5.jpg,1
dcfaeac33f.jpg,1
9a5dd34274.jpg,-1
adcb874b57.jpg,1
b3ec4fd6f8.jpg,1
4108973f86.jpg,1
339216f41a.jpg,1
421f49d0c2.jpg,1
5c04de5441.jpg,1
9f907c26fc.jpg,1
6334d2aaba.jpg,1
cea9117f7f.jpg,1
d1da039780.jpg,-1
d6156f693b.jpg,1
906cd91365.jpg,1
dc11342e8a.jpg,1
dfbf6d2d1a.jpg,1
27b7bceb32.jpg,1
a65d5bdaed.jpg,1
b064bed6f2.jpg,-1
917337cb54.jpg,1
a2b26348f5.jpg,1
98bc20c2c9.jpg,-1
2681084c76.jpg,-1
ec09331644.jpg,1
c8325720bb.jpg,1
4b0a96d971.jpg,1
8ecfa8eba3.jpg,1
50a06fee2f.jpg,1
bf3a8a6d79.jpg,-1
6d2fb18e7f.jpg,1
07e2df1e3b.jpg,1
ab6903c3c2.jpg,1
7f49301fa2.jpg,1
1dc86297b6.jpg,1
ab6903c3c2.jpg,1
0a22d2a862.jpg,1
014e0f70fe.jpg,1
31abc9db9d.jpg,1
efe5befe8a.jpg,1
dd5cb7a487.jpg,1
4e4e0697d9.jpg,1
b87d3c8d1c.jpg,1
15c8a8a36b.jpg,1
d7f5f47041.jpg,1
ab6903c3c2.jpg,1
3f1d14bdf1.jpg,1
5e6dcefa28.jpg,-1
ff9900299b.jpg,1
8a5680a44a.jpg,1
7559423853.jpg,1
2681084c76.jpg,1
416519a3ae.jpg,1
73f04c7701.jpg,1
dfbf6d2d1a.jpg,1
08e5130872.jpg,1
5ea1546c78.jpg,1
a427eb3de6.jpg,1
cc42e38565.jpg,1
9da9817fb6.jpg,1
3da97b99fa.jpg,1
5464e3813d.jpg,1
d577a6d0cd.jpg,1
e93cad02c4.jpg,1
fc3f21cfcc.jpg,1
34c4ce78cd.jpg,1
61c389cc98.jpg,1
81cf00de17.jpg,-1
40c0dab142.jpg,-1
d6989930ce.jpg,1
15ef4ecc76.jpg,1
